specification,model,term,estimate,std.error,statistic,p.value,conf.low,conf.high
Excluding 2023,(1),share_1936_1955:post,-1.4614904422331108,0.9436486809631347,-1.5487654163215074,0.12245509824801176,-3.3182335293132112,0.39525264484698996
Excluding 2023,(1),post:share_1956_1978,-0.47933707059897745,5.080587192854314,-0.09434678559855246,0.9248944416884077,-10.476007800866732,9.517333659668775
Excluding 2023,(2),share_1936_1955:post,-1.2492014845900514,0.9073682621798399,-1.3767304154864306,0.16958587570146325,-3.0345584529469223,0.5361554837668194
Excluding 2023,(2),post:share_1956_1978,0.09155023678044572,4.804828154294828,0.019053800435841376,0.9848104047734312,-9.362531181517312,9.545631655078203
Excluding 2023,(3),share_1936_1955:post,-1.768837395500884,0.8622383939285256,-2.0514481933954682,0.04106060122749479,-3.4653958813431194,-0.07227890965864847
Excluding 2023,(3),post:share_1956_1978,-0.9603338927455711,4.6338459360587905,-0.20724337968869994,0.8359554207896384,-10.077987085022436,8.157319299531295
Excluding 2023,(4),share_1936_1955:post,-0.41656037978779725,0.5722641352296756,-0.7279162787662949,0.4672125115895992,-1.5425593860992175,0.709438626523623
Excluding 2023,(4),post:share_1956_1978,2.9898349487874913,2.169091783242536,1.3783810219031125,0.16907643448473503,-1.278115884002542,7.257785781577525
Excluding 2023,(5),share_1936_1955:post,-0.40662134385112403,0.602104897040545,-0.6753330621453867,0.4999659794173227,-1.5913356637355838,0.7780929760333358
Excluding 2023,(5),post:share_1956_1978,3.4957715988400775,2.2263281302043865,1.5701960332860505,0.11738633040964495,-0.8847986798253702,7.876341877505525
Excluding 2023,(6),share_1936_1955:post,-0.2509165398375499,0.539967173033276,-0.4646885076883867,0.6424796958419948,-1.3133673607897252,0.8115342811146253
Excluding 2023,(6),post:share_1956_1978,3.5323223136702726,2.047272956022809,1.7253792677125164,0.08545250275394467,-0.4959352202475822,7.560579847588127
