mun_code,nom_prov_clean,nom_mun_clean,variable,observaciones,observaciones_missing,proporcion_missing,variable_label,porcentaje_missing
6031,BUENOS AIRES,CANUELAS,intencion_migrar,90,0,0,Migration intention,0
6031,BUENOS AIRES,CANUELAS,voto_blanco_nulo,90,22,0.24444444444444444,Blank/null vote,24.444444444444443
6051,BUENOS AIRES,BARADERO,intencion_migrar,91,2,0.02197802197802198,Migration intention,2.197802197802198
6051,BUENOS AIRES,BARADERO,voto_blanco_nulo,91,16,0.17582417582417584,Blank/null vote,17.582417582417584
6069,BUENOS AIRES,MAR CHIQUITA,intencion_migrar,90,1,0.011111111111111112,Migration intention,1.1111111111111112
6069,BUENOS AIRES,MAR CHIQUITA,voto_blanco_nulo,90,13,0.14444444444444443,Blank/null vote,14.444444444444443
6074,BUENOS AIRES,LA MATANZA,intencion_migrar,453,7,0.01545253863134658,Migration intention,1.545253863134658
6074,BUENOS AIRES,LA MATANZA,voto_blanco_nulo,453,117,0.2582781456953642,Blank/null vote,25.82781456953642
6075,BUENOS AIRES,LOMAS DE ZAMORA,intencion_migrar,91,2,0.02197802197802198,Migration intention,2.197802197802198
6075,BUENOS AIRES,LOMAS DE ZAMORA,voto_blanco_nulo,91,24,0.26373626373626374,Blank/null vote,26.373626373626376
6076,BUENOS AIRES,QUILMES,intencion_migrar,18,0,0,Migration intention,0
6076,BUENOS AIRES,QUILMES,voto_blanco_nulo,18,5,0.2777777777777778,Blank/null vote,27.77777777777778
6078,BUENOS AIRES,MERLO,intencion_migrar,90,5,0.05555555555555555,Migration intention,5.555555555555555
6078,BUENOS AIRES,MERLO,voto_blanco_nulo,90,18,0.2,Blank/null vote,20
6079,BUENOS AIRES,LANUS,intencion_migrar,92,2,0.021739130434782608,Migration intention,2.1739130434782608
6079,BUENOS AIRES,LANUS,voto_blanco_nulo,92,20,0.21739130434782608,Blank/null vote,21.73913043478261
6080,BUENOS AIRES,MORENO,intencion_migrar,91,5,0.054945054945054944,Migration intention,5.4945054945054945
6080,BUENOS AIRES,MORENO,voto_blanco_nulo,91,25,0.27472527472527475,Blank/null vote,27.472527472527474
6083,BUENOS AIRES,TIGRE,intencion_migrar,252,3,0.011904761904761904,Migration intention,1.1904761904761905
6083,BUENOS AIRES,TIGRE,voto_blanco_nulo,252,50,0.1984126984126984,Blank/null vote,19.841269841269842
6084,BUENOS AIRES,AVELLANEDA,intencion_migrar,185,0,0,Migration intention,0
6084,BUENOS AIRES,AVELLANEDA,voto_blanco_nulo,185,38,0.20540540540540542,Blank/null vote,20.54054054054054
6086,BUENOS AIRES,JOSE C. PAZ,intencion_migrar,90,3,0.03333333333333333,Migration intention,3.3333333333333335
6086,BUENOS AIRES,JOSE C. PAZ,voto_blanco_nulo,90,19,0.2111111111111111,Blank/null vote,21.11111111111111
6086,BUENOS AIRES,SAN MIGUEL,intencion_migrar,92,4,0.043478260869565216,Migration intention,4.3478260869565215
6086,BUENOS AIRES,SAN MIGUEL,voto_blanco_nulo,92,19,0.20652173913043478,Blank/null vote,20.652173913043477
6088,BUENOS AIRES,MORON,intencion_migrar,90,1,0.011111111111111112,Migration intention,1.1111111111111112
6088,BUENOS AIRES,MORON,voto_blanco_nulo,90,22,0.24444444444444444,Blank/null vote,24.444444444444443
6091,BUENOS AIRES,VICENTE LOPEZ,intencion_migrar,90,3,0.03333333333333333,Migration intention,3.3333333333333335
6091,BUENOS AIRES,VICENTE LOPEZ,voto_blanco_nulo,90,19,0.2111111111111111,Blank/null vote,21.11111111111111
14001,CORDOBA,CAPITAL,intencion_migrar,273,2,0.007326007326007326,Migration intention,0.7326007326007326
14001,CORDOBA,CAPITAL,voto_blanco_nulo,273,82,0.30036630036630035,Blank/null vote,30.036630036630036
14004,CORDOBA,SAN JUSTO,intencion_migrar,90,0,0,Migration intention,0
