mun_code,nom_prov_clean,nom_mun_clean,variable,observaciones,observaciones_missing,proporcion_missing,variable_label,porcentaje_missing
22001,CHACO,SAN FERNANDO,voto_blanco_nulo,184,37,0.20108695652173914,Blank/null vote,20.108695652173914
6004,BUENOS AIRES,BAHIA BLANCA,voto_blanco_nulo,90,18,0.2,Blank/null vote,20
6078,BUENOS AIRES,MERLO,voto_blanco_nulo,90,18,0.2,Blank/null vote,20
6083,BUENOS AIRES,TIGRE,voto_blanco_nulo,252,50,0.1984126984126984,Blank/null vote,19.841269841269842
50001,MENDOZA,GUAYMALLEN,voto_blanco_nulo,92,18,0.1956521739130435,Blank/null vote,19.565217391304348
18001,CORRIENTES,CAPITAL,voto_blanco_nulo,90,17,0.18888888888888888,Blank/null vote,18.88888888888889
42007,LA PAMPA,UTRACAN,voto_blanco_nulo,90,17,0.18888888888888888,Blank/null vote,18.88888888888889
6017,BUENOS AIRES,SAN VICENTE,voto_blanco_nulo,91,17,0.18681318681318682,Blank/null vote,18.681318681318682
66008,SALTA,ROSARIO DE LA FRONTERA,voto_blanco_nulo,91,17,0.18681318681318682,Blank/null vote,18.681318681318682
6051,BUENOS AIRES,BARADERO,voto_blanco_nulo,91,16,0.17582417582417584,Blank/null vote,17.582417582417584
6002,BUENOS AIRES,GENERAL PUEYRREDON,voto_blanco_nulo,183,31,0.16939890710382513,Blank/null vote,16.939890710382514
66005,SALTA,LA CALDERA,voto_blanco_nulo,92,15,0.16304347826086957,Blank/null vote,16.304347826086957
70004,SAN JUAN,RIVADAVIA,voto_blanco_nulo,92,15,0.16304347826086957,Blank/null vote,16.304347826086957
6015,BUENOS AIRES,BERISSO,voto_blanco_nulo,90,14,0.15555555555555556,Blank/null vote,15.555555555555555
42001,LA PAMPA,CAPITAL,voto_blanco_nulo,90,14,0.15555555555555556,Blank/null vote,15.555555555555555
90001,TUCUMAN,TAFI VIAJO,voto_blanco_nulo,181,28,0.15469613259668508,Blank/null vote,15.469613259668508
6069,BUENOS AIRES,MAR CHIQUITA,voto_blanco_nulo,90,13,0.14444444444444443,Blank/null vote,14.444444444444443
30001,ENTRE RIOS,PARANA,voto_blanco_nulo,90,13,0.14444444444444443,Blank/null vote,14.444444444444443
6029,BUENOS AIRES,ENSENADA,voto_blanco_nulo,91,13,0.14285714285714285,Blank/null vote,14.285714285714285
6001,BUENOS AIRES,LA PLATA,voto_blanco_nulo,91,12,0.13186813186813187,Blank/null vote,13.186813186813188
90002,TUCUMAN,CRUZ ALTA,voto_blanco_nulo,91,12,0.13186813186813187,Blank/null vote,13.186813186813188
50003,MENDOZA,GODOY CRUZ,voto_blanco_nulo,90,11,0.12222222222222222,Blank/null vote,12.222222222222221
86002,SANTIAGO DEL ESTERO,BANDA,voto_blanco_nulo,18,2,0.1111111111111111,Blank/null vote,11.11111111111111
90001,TUCUMAN,YERBA BUENA,voto_blanco_nulo,94,9,0.09574468085106383,Blank/null vote,9.574468085106384
6001,BUENOS AIRES,LA PLATA,secundaria_completa_o_mas,91,8,0.08791208791208792,High school or more,8.791208791208792
2001,CIUDAD AUTONOMA DE BUENOS AIRES,CITY OF BUENOS AIRES,secundaria_completa_o_mas,631,48,0.07606973058637084,High school or more,7.6069730586370845
6075,BUENOS AIRES,LOMAS DE ZAMORA,secundaria_completa_o_mas,91,6,0.06593406593406594,High school or more,6.593406593406594
6088,BUENOS AIRES,MORON,secundaria_completa_o_mas,90,5,0.05555555555555555,High school or more,5.555555555555555
14005,CORDOBA,PUNILLA,secundaria_completa_o_mas,90,5,0.05555555555555555,High school or more,5.555555555555555
6084,BUENOS AIRES,AVELLANEDA,secundaria_completa_o_mas,185,9,0.04864864864864865,High school or more,4.864864864864865
6078,BUENOS AIRES,MERLO,secundaria_completa_o_mas,90,4,0.044444444444444446,High school or more,4.444444444444445
18001,CORRIENTES,CAPITAL,secundaria_completa_o_mas,90,4,0.044444444444444446,High school or more,4.444444444444445
50008,MENDOZA,CAPITAL,secundaria_completa_o_mas,90,4,0.044444444444444446,High school or more,4.444444444444445
90001,TUCUMAN,CAPITAL,secundaria_completa_o_mas,92,4,0.043478260869565216,High school or more,4.3478260869565215
6083,BUENOS AIRES,TIGRE,secundaria_completa_o_mas,252,10,0.03968253968253968,High school or more,3.968253968253968
6025,BUENOS AIRES,MAGDALENA,secundaria_completa_o_mas,90,3,0.03333333333333333,High school or more,3.3333333333333335
6091,BUENOS AIRES,VICENTE LOPEZ,secundaria_completa_o_mas,90,3,0.03333333333333333,High school or more,3.3333333333333335
14004,CORDOBA,SAN JUSTO,secundaria_completa_o_mas,90,3,0.03333333333333333,High school or more,3.3333333333333335
22013,CHACO,CHACABUCO,secundaria_completa_o_mas,90,3,0.03333333333333333,High school or more,3.3333333333333335
66001,SALTA,CAPITAL,secundaria_completa_o_mas,90,3,0.03333333333333333,High school or more,3.3333333333333335
6029,BUENOS AIRES,ENSENADA,secundaria_completa_o_mas,91,3,0.03296703296703297,High school or more,3.296703296703297
90002,TUCUMAN,CRUZ ALTA,secundaria_completa_o_mas,91,3,0.03296703296703297,High school or more,3.296703296703297
6002,BUENOS AIRES,GENERAL PUEYRREDON,secundaria_completa_o_mas,183,6,0.03278688524590164,High school or more,3.278688524590164
6079,BUENOS AIRES,LANUS,secundaria_completa_o_mas,92,3,0.03260869565217391,High school or more,3.260869565217391
50001,MENDOZA,GUAYMALLEN,secundaria_completa_o_mas,92,3,0.03260869565217391,High school or more,3.260869565217391
14001,CORDOBA,CAPITAL,secundaria_completa_o_mas,273,7,0.02564102564102564,High school or more,2.564102564102564
6004,BUENOS AIRES,BAHIA BLANCA,secundaria_completa_o_mas,90,2,0.022222222222222223,High school or more,2.2222222222222223
6031,BUENOS AIRES,CANUELAS,secundaria_completa_o_mas,90,2,0.022222222222222223,High school or more,2.2222222222222223
50003,MENDOZA,GODOY CRUZ,secundaria_completa_o_mas,90,2,0.022222222222222223,High school or more,2.2222222222222223
90001,TUCUMAN,TAFI VIAJO,secundaria_completa_o_mas,181,4,0.022099447513812154,High school or more,2.209944751381215
62001,RIO NEGRO,GENERAL ROCA,secundaria_completa_o_mas,273,6,0.02197802197802198,High school or more,2.197802197802198
6080,BUENOS AIRES,MORENO,secundaria_completa_o_mas,91,2,0.02197802197802198,High school or more,2.197802197802198
66008,SALTA,ROSARIO DE LA FRONTERA,secundaria_completa_o_mas,91,2,0.02197802197802198,High school or more,2.197802197802198
6086,BUENOS AIRES,SAN MIGUEL,secundaria_completa_o_mas,92,2,0.021739130434782608,High school or more,2.1739130434782608
82001,SANTA FE,ROSARIO,secundaria_completa_o_mas,364,5,0.013736263736263736,High school or more,1.3736263736263736
