mun_code,nom_prov_clean,nom_mun_clean,variable,observaciones,observaciones_missing,proporcion_missing,porcentaje_missing,variable_label
6017,BUENOS AIRES,SAN VICENTE,voto_blanco_nulo,91,17,0.18681318681318682,18.681318681318682,Blank/null vote
6025,BUENOS AIRES,MAGDALENA,intencion_migrar,90,1,0.011111111111111112,1.1111111111111112,Migration intention
6025,BUENOS AIRES,MAGDALENA,izq_der,90,25,0.2777777777777778,27.77777777777778,Left-right ideology
6025,BUENOS AIRES,MAGDALENA,voto_blanco_nulo,90,22,0.24444444444444444,24.444444444444443,Blank/null vote
6029,BUENOS AIRES,ENSENADA,intencion_migrar,91,1,0.01098901098901099,1.098901098901099,Migration intention
6029,BUENOS AIRES,ENSENADA,izq_der,91,15,0.16483516483516483,16.483516483516482,Left-right ideology
6029,BUENOS AIRES,ENSENADA,voto_blanco_nulo,91,13,0.14285714285714285,14.285714285714285,Blank/null vote
6031,BUENOS AIRES,CANUELAS,intencion_migrar,90,0,0,0,Migration intention
6031,BUENOS AIRES,CANUELAS,izq_der,90,20,0.2222222222222222,22.22222222222222,Left-right ideology
6031,BUENOS AIRES,CANUELAS,voto_blanco_nulo,90,22,0.24444444444444444,24.444444444444443,Blank/null vote
6051,BUENOS AIRES,BARADERO,intencion_migrar,91,2,0.02197802197802198,2.197802197802198,Migration intention
6051,BUENOS AIRES,BARADERO,izq_der,91,21,0.23076923076923078,23.076923076923077,Left-right ideology
6051,BUENOS AIRES,BARADERO,voto_blanco_nulo,91,16,0.17582417582417584,17.582417582417584,Blank/null vote
6069,BUENOS AIRES,MAR CHIQUITA,intencion_migrar,90,1,0.011111111111111112,1.1111111111111112,Migration intention
6069,BUENOS AIRES,MAR CHIQUITA,izq_der,90,17,0.18888888888888888,18.88888888888889,Left-right ideology
6069,BUENOS AIRES,MAR CHIQUITA,voto_blanco_nulo,90,13,0.14444444444444443,14.444444444444443,Blank/null vote
6074,BUENOS AIRES,LA MATANZA,intencion_migrar,453,7,0.01545253863134658,1.545253863134658,Migration intention
6074,BUENOS AIRES,LA MATANZA,izq_der,453,77,0.16997792494481237,16.99779249448124,Left-right ideology
6074,BUENOS AIRES,LA MATANZA,voto_blanco_nulo,453,117,0.2582781456953642,25.82781456953642,Blank/null vote
6075,BUENOS AIRES,LOMAS DE ZAMORA,intencion_migrar,91,2,0.02197802197802198,2.197802197802198,Migration intention
6075,BUENOS AIRES,LOMAS DE ZAMORA,izq_der,91,16,0.17582417582417584,17.582417582417584,Left-right ideology
6075,BUENOS AIRES,LOMAS DE ZAMORA,voto_blanco_nulo,91,24,0.26373626373626374,26.373626373626376,Blank/null vote
6076,BUENOS AIRES,QUILMES,intencion_migrar,18,0,0,0,Migration intention
6076,BUENOS AIRES,QUILMES,izq_der,18,2,0.1111111111111111,11.11111111111111,Left-right ideology
6076,BUENOS AIRES,QUILMES,voto_blanco_nulo,18,5,0.2777777777777778,27.77777777777778,Blank/null vote
6078,BUENOS AIRES,MERLO,intencion_migrar,90,5,0.05555555555555555,5.555555555555555,Migration intention
6078,BUENOS AIRES,MERLO,izq_der,90,11,0.12222222222222222,12.222222222222221,Left-right ideology
6078,BUENOS AIRES,MERLO,voto_blanco_nulo,90,18,0.2,20,Blank/null vote
6079,BUENOS AIRES,LANUS,intencion_migrar,92,2,0.021739130434782608,2.1739130434782608,Migration intention
6079,BUENOS AIRES,LANUS,izq_der,92,9,0.09782608695652174,9.782608695652174,Left-right ideology
6079,BUENOS AIRES,LANUS,voto_blanco_nulo,92,20,0.21739130434782608,21.73913043478261,Blank/null vote
6080,BUENOS AIRES,MORENO,intencion_migrar,91,5,0.054945054945054944,5.4945054945054945,Migration intention
6080,BUENOS AIRES,MORENO,izq_der,91,11,0.12087912087912088,12.087912087912088,Left-right ideology
6080,BUENOS AIRES,MORENO,voto_blanco_nulo,91,25,0.27472527472527475,27.472527472527474,Blank/null vote
6083,BUENOS AIRES,TIGRE,intencion_migrar,252,3,0.011904761904761904,1.1904761904761905,Migration intention
6083,BUENOS AIRES,TIGRE,izq_der,252,30,0.11904761904761904,11.904761904761903,Left-right ideology
6083,BUENOS AIRES,TIGRE,voto_blanco_nulo,252,50,0.1984126984126984,19.841269841269842,Blank/null vote
6084,BUENOS AIRES,AVELLANEDA,intencion_migrar,185,0,0,0,Migration intention
6084,BUENOS AIRES,AVELLANEDA,izq_der,185,10,0.05405405405405406,5.405405405405405,Left-right ideology
6084,BUENOS AIRES,AVELLANEDA,voto_blanco_nulo,185,38,0.20540540540540542,20.54054054054054,Blank/null vote
6086,BUENOS AIRES,JOSE C. PAZ,intencion_migrar,90,3,0.03333333333333333,3.3333333333333335,Migration intention
6086,BUENOS AIRES,JOSE C. PAZ,izq_der,90,11,0.12222222222222222,12.222222222222221,Left-right ideology
6086,BUENOS AIRES,JOSE C. PAZ,voto_blanco_nulo,90,19,0.2111111111111111,21.11111111111111,Blank/null vote
6086,BUENOS AIRES,SAN MIGUEL,intencion_migrar,92,4,0.043478260869565216,4.3478260869565215,Migration intention
6086,BUENOS AIRES,SAN MIGUEL,izq_der,92,12,0.13043478260869565,13.043478260869565,Left-right ideology
6086,BUENOS AIRES,SAN MIGUEL,voto_blanco_nulo,92,19,0.20652173913043478,20.652173913043477,Blank/null vote
6088,BUENOS AIRES,MORON,intencion_migrar,90,1,0.011111111111111112,1.1111111111111112,Migration intention
6088,BUENOS AIRES,MORON,izq_der,90,12,0.13333333333333333,13.333333333333334,Left-right ideology
6088,BUENOS AIRES,MORON,voto_blanco_nulo,90,22,0.24444444444444444,24.444444444444443,Blank/null vote
6091,BUENOS AIRES,VICENTE LOPEZ,intencion_migrar,90,3,0.03333333333333333,3.3333333333333335,Migration intention
6091,BUENOS AIRES,VICENTE LOPEZ,izq_der,90,18,0.2,20,Left-right ideology
6091,BUENOS AIRES,VICENTE LOPEZ,voto_blanco_nulo,90,19,0.2111111111111111,21.11111111111111,Blank/null vote
14001,CORDOBA,CAPITAL,intencion_migrar,273,2,0.007326007326007326,0.7326007326007326,Migration intention
14001,CORDOBA,CAPITAL,izq_der,273,53,0.19413919413919414,19.413919413919416,Left-right ideology
14001,CORDOBA,CAPITAL,voto_blanco_nulo,273,82,0.30036630036630035,30.036630036630036,Blank/null vote
14004,CORDOBA,SAN JUSTO,intencion_migrar,90,0,0,0,Migration intention
14004,CORDOBA,SAN JUSTO,izq_der,90,22,0.24444444444444444,24.444444444444443,Left-right ideology
14004,CORDOBA,SAN JUSTO,voto_blanco_nulo,90,28,0.3111111111111111,31.11111111111111,Blank/null vote
14005,CORDOBA,PUNILLA,intencion_migrar,90,2,0.022222222222222223,2.2222222222222223,Migration intention
14005,CORDOBA,PUNILLA,izq_der,90,17,0.18888888888888888,18.88888888888889,Left-right ideology
14005,CORDOBA,PUNILLA,voto_blanco_nulo,90,32,0.35555555555555557,35.55555555555556,Blank/null vote
18001,CORRIENTES,CAPITAL,intencion_migrar,90,0,0,0,Migration intention
18001,CORRIENTES,CAPITAL,izq_der,90,17,0.18888888888888888,18.88888888888889,Left-right ideology
18001,CORRIENTES,CAPITAL,voto_blanco_nulo,90,17,0.18888888888888888,18.88888888888889,Blank/null vote
22001,CHACO,SAN FERNANDO,intencion_migrar,184,1,0.005434782608695652,0.5434782608695652,Migration intention
22001,CHACO,SAN FERNANDO,izq_der,184,20,0.10869565217391304,10.869565217391305,Left-right ideology
22001,CHACO,SAN FERNANDO,voto_blanco_nulo,184,37,0.20108695652173914,20.108695652173914,Blank/null vote
22002,CHACO,COMANDANTE FERNANDEZ,intencion_migrar,108,0,0,0,Migration intention
22002,CHACO,COMANDANTE FERNANDEZ,izq_der,108,25,0.23148148148148148,23.14814814814815,Left-right ideology
22002,CHACO,COMANDANTE FERNANDEZ,voto_blanco_nulo,108,25,0.23148148148148148,23.14814814814815,Blank/null vote
22003,CHACO,LIBERTADOR GENERAL SAN MARTIN,intencion_migrar,91,0,0,0,Migration intention
22003,CHACO,LIBERTADOR GENERAL SAN MARTIN,izq_der,91,21,0.23076923076923078,23.076923076923077,Left-right ideology
22003,CHACO,LIBERTADOR GENERAL SAN MARTIN,voto_blanco_nulo,91,20,0.21978021978021978,21.978021978021978,Blank/null vote
22004,CHACO,GENERAL GUEMES,intencion_migrar,73,0,0,0,Migration intention
22004,CHACO,GENERAL GUEMES,izq_der,73,16,0.2191780821917808,21.91780821917808,Left-right ideology
22004,CHACO,GENERAL GUEMES,voto_blanco_nulo,73,19,0.2602739726027397,26.027397260273972,Blank/null vote
22008,CHACO,LIBERTAD,intencion_migrar,90,0,0,0,Migration intention
22008,CHACO,LIBERTAD,izq_der,90,15,0.16666666666666666,16.666666666666664,Left-right ideology
22008,CHACO,LIBERTAD,voto_blanco_nulo,90,21,0.23333333333333334,23.333333333333332,Blank/null vote
22013,CHACO,CHACABUCO,intencion_migrar,90,0,0,0,Migration intention
22013,CHACO,CHACABUCO,izq_der,90,28,0.3111111111111111,31.11111111111111,Left-right ideology
22013,CHACO,CHACABUCO,voto_blanco_nulo,90,32,0.35555555555555557,35.55555555555556,Blank/null vote
30001,ENTRE RIOS,PARANA,intencion_migrar,90,2,0.022222222222222223,2.2222222222222223,Migration intention
30001,ENTRE RIOS,PARANA,izq_der,90,18,0.2,20,Left-right ideology
30001,ENTRE RIOS,PARANA,voto_blanco_nulo,90,13,0.14444444444444443,14.444444444444443,Blank/null vote
42001,LA PAMPA,CAPITAL,intencion_migrar,90,1,0.011111111111111112,1.1111111111111112,Migration intention
